Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Arrangement (product.metafields.shopify.arrangement),Art/Crafting tool material (product.metafields.shopify.art-crafting-tool-material),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Plant characteristics (product.metafields.shopify.plant-characteristics),Plant class (product.metafields.shopify.plant-class),Plant name (product.metafields.shopify.plant-name),Ring design (product.metafields.shopify.ring-design),Stem length (product.metafields.shopify.stem-length),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
cake-flower,Cake Flower,<p>DM us for customize </p>,Sun Florist,Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants,Bouquets,"Bouquets, gift",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,126.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_2981.jpg?v=1770516444,1,"",false,,,6265,,,,,,,,,,,,,,,,,,floral,plastic; polyester,,,,magnoliopsida,rose,,,,,,,,,,lb,,,true,,,active
cake-flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_2909.jpg?v=1770516444,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cake-flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_2911.jpg?v=1770516444,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cake-flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_2928.jpg?v=1770516444,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cake-flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_2990.jpg?v=1770516444,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-tulip-with-calla,Pink-Tulip with calla,"",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers > Lilies,Bouquets,"Bouquets, Wedding",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,166.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3613.jpg?v=1770515990,1,"",false,,,2899,,,,,,,,,,,,,,,,,,pink; white,,,,,,,,,,,,,,,,lb,,,true,,,active
pink-tulip-with-calla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3617.jpg?v=1770515990,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calla-lily-mini-cranberry,Calla Lily Mini Cranberry,"",Sun Florist,Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants,Bouquets,"Bouquets, Wedding",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,128.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/ba94c1d38680d9d7f718a8e729b3f959.jpg?v=1770515807,1,"",false,,,6265,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,lb,,,true,,,active
calla-lily-mini-cranberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/dfb4ac3ddeb8878bf4b0bc97fff0b8e6.jpg?v=1770515807,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-day,V Day,"",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers > Roses,Bouquets,Bouquets,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,128.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_1585.jpg?v=1770095357,1,"",false,,,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
v-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_1586.jpg?v=1770095357,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_1584.jpg?v=1770095357,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_1587.jpg?v=1770095357,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
